gameId|platformId|lastUpdate
1795|3|E'2020-11-29 19:18:57'
1795|6|E'2020-11-29 19:18:57'
1796|7|E'2020-11-29 19:18:57'
1797|5|E'2020-11-29 19:18:57'
1797|7|E'2020-11-29 19:18:57'
1797|3|E'2020-11-29 19:18:57'
1797|8|E'2020-11-29 19:18:57'
1798|1|E'2020-11-29 19:18:57'
1798|4|E'2020-11-29 19:18:57'
1798|8|E'2020-11-29 19:18:57'
1798|7|E'2020-11-29 19:18:57'
1798|3|E'2020-11-29 19:18:57'
1798|9|E'2020-11-29 19:18:57'
1799|5|E'2020-11-29 19:18:57'
1799|7|E'2020-11-29 19:18:57'
1799|3|E'2020-11-29 19:18:57'
1799|6|E'2020-11-29 19:18:57'
1800|5|E'2020-11-29 19:18:57'
1800|7|E'2020-11-29 19:18:57'
1800|3|E'2020-11-29 19:18:57'
1800|6|E'2020-11-29 19:18:57'
1801|7|E'2020-11-29 19:18:57'
1802|5|E'2020-11-29 19:18:57'
1802|7|E'2020-11-29 19:18:57'
1802|3|E'2020-11-29 19:18:57'
1802|6|E'2020-11-29 19:18:57'
1803|7|E'2020-11-29 19:18:57'
1803|9|E'2020-11-29 19:18:57'
1803|8|E'2020-11-29 19:18:57'
1804|4|E'2020-11-29 19:18:57'
1804|5|E'2020-11-29 19:18:57'
1804|7|E'2020-11-29 19:18:57'
1804|3|E'2020-11-29 19:18:57'
1804|6|E'2020-11-29 19:18:57'
1805|5|E'2020-11-29 19:18:57'
1805|7|E'2020-11-29 19:18:57'
1805|3|E'2020-11-29 19:18:57'
1806|5|E'2020-11-29 19:18:57'
1806|7|E'2020-11-29 19:18:57'
1806|9|E'2020-11-29 19:18:57'
1807|5|E'2020-11-29 19:18:57'
1807|7|E'2020-11-29 19:18:57'
1807|3|E'2020-11-29 19:18:57'
1807|6|E'2020-11-29 19:18:57'
1808|7|E'2020-11-29 19:18:57'
1809|5|E'2020-11-29 19:18:57'
1809|7|E'2020-11-29 19:18:57'
1809|3|E'2020-11-29 19:18:57'
1810|4|E'2020-11-29 19:18:57'
1810|5|E'2020-11-29 19:18:57'
1810|7|E'2020-11-29 19:18:57'
1810|3|E'2020-11-29 19:18:57'
1810|6|E'2020-11-29 19:18:57'
1811|11|E'2020-11-29 19:18:57'
1811|1|E'2020-11-29 19:18:57'
1811|4|E'2020-11-29 19:18:57'
1811|5|E'2020-11-29 19:18:57'
1811|7|E'2020-11-29 19:18:57'
1811|3|E'2020-11-29 19:18:57'
1811|8|E'2020-11-29 19:18:57'
1811|6|E'2020-11-29 19:18:57'
1812|4|E'2020-11-29 19:18:57'
1812|7|E'2020-11-29 19:18:57'
1813|5|E'2020-11-29 19:18:57'
1813|7|E'2020-11-29 19:18:57'
1813|3|E'2020-11-29 19:18:57'
1813|6|E'2020-11-29 19:18:57'
1814|7|E'2020-11-29 19:18:57'
1815|7|E'2020-11-29 19:18:57'
1815|3|E'2020-11-29 19:18:57'
1816|4|E'2020-11-29 19:18:57'
1816|7|E'2020-11-29 19:18:57'
1817|7|E'2020-11-29 19:18:57'
1817|3|E'2020-11-29 19:18:57'
1818|7|E'2020-11-29 19:18:57'
1818|3|E'2020-11-29 19:18:57'
1819|4|E'2020-11-29 19:18:57'
1819|7|E'2020-11-29 19:18:57'
1819|3|E'2020-11-29 19:18:57'
1820|5|E'2020-11-29 19:18:57'
1820|7|E'2020-11-29 19:18:57'
1820|3|E'2020-11-29 19:18:57'
1820|6|E'2020-11-29 19:18:57'
1821|7|E'2020-11-29 19:18:57'
1821|9|E'2020-11-29 19:18:57'
1822|2|E'2020-11-29 19:18:57'
1822|1|E'2020-11-29 19:18:57'
1822|4|E'2020-11-29 19:18:57'
1822|5|E'2020-11-29 19:18:57'
1822|7|E'2020-11-29 19:18:57'
1822|3|E'2020-11-29 19:18:57'
1823|11|E'2020-11-29 19:18:57'
1823|5|E'2020-11-29 19:18:57'
1823|7|E'2020-11-29 19:18:57'
1824|5|E'2020-11-29 19:18:57'
1824|7|E'2020-11-29 19:18:57'
1824|3|E'2020-11-29 19:18:57'
1824|6|E'2020-11-29 19:18:57'
1825|5|E'2020-11-29 19:18:57'
1825|7|E'2020-11-29 19:18:57'
1825|3|E'2020-11-29 19:18:57'
1825|6|E'2020-11-29 19:18:57'
1826|7|E'2020-11-29 19:18:57'
1827|5|E'2020-11-29 19:18:57'
1827|7|E'2020-11-29 19:18:57'
1827|6|E'2020-11-29 19:18:57'
1828|5|E'2020-11-29 19:18:57'
1828|7|E'2020-11-29 19:18:57'
1828|3|E'2020-11-29 19:18:57'
1829|5|E'2020-11-29 19:18:57'
1829|7|E'2020-11-29 19:18:57'
1829|3|E'2020-11-29 19:18:57'
1829|6|E'2020-11-29 19:18:57'
1830|7|E'2020-11-29 19:18:57'
1831|7|E'2020-11-29 19:18:57'
1831|3|E'2020-11-29 19:18:57'
1832|4|E'2020-11-29 19:18:57'
1832|7|E'2020-11-29 19:18:57'
1832|3|E'2020-11-29 19:18:57'
1833|5|E'2020-11-29 19:18:57'
1833|7|E'2020-11-29 19:18:57'
1833|3|E'2020-11-29 19:18:57'
1833|6|E'2020-11-29 19:18:57'
